market_id,period,open,high,low,close,volume,adjusted_close
1,600,1.16657,1.167,1.16655,1.16676,0.0,0.0
1,600,1.16676,1.16693,1.16633,1.16654,0.0,0.0
1,600,1.16654,1.16661,1.16589,1.1662,0.0,0.0
1,600,1.1662,1.16674,1.1662,1.16661,0.0,0.0
1,600,1.16663,1.16761,1.16657,1.16755,0.0,0.0
1,600,1.16755,1.16758,1.1671,1.1673,0.0,0.0
1,600,1.16731,1.16734,1.16685,1.16692,0.0,0.0
1,600,1.16696,1.1676,1.1662,1.16735,0.0,0.0
1,600,1.16735,1.16866,1.1673,1.16809,0.0,0.0
1,600,1.1681,1.16825,1.16653,1.1669,0.0,0.0
1,600,1.1669,1.16711,1.16598,1.16665,0.0,0.0
1,600,1.16665,1.16672,1.16608,1.16631,0.0,0.0
1,600,1.16631,1.16674,1.16599,1.16611,0.0,0.0
1,600,1.16612,1.16646,1.16581,1.16619,0.0,0.0
1,600,1.16619,1.16666,1.16604,1.16661,0.0,0.0
1,600,1.16661,1.16769,1.16661,1.16714,0.0,0.0
1,600,1.16718,1.16809,1.16656,1.16805,0.0,0.0
1,600,1.16805,1.16854,1.16798,1.16831,0.0,0.0
1,600,1.16831,1.16857,1.16806,1.16829,0.0,0.0
1,600,1.16829,1.16833,1.16758,1.16805,0.0,0.0
1,600,1.16805,1.16826,1.16707,1.16707,0.0,0.0
1,600,1.16705,1.16736,1.16675,1.16698,0.0,0.0
1,600,1.167,1.16701,1.1663,1.16631,0.0,0.0
1,600,1.1663,1.1669,1.1663,1.16679,0.0,0.0
1,600,1.16679,1.16679,1.16606,1.16649,0.0,0.0
1,600,1.16649,1.16722,1.16632,1.16706,0.0,0.0
1,600,1.16706,1.16744,1.16693,1.16712,0.0,0.0
1,600,1.16712,1.16749,1.16708,1.16715,0.0,0.0
1,600,1.16716,1.1679,1.16713,1.16779,0.0,0.0
1,600,1.16779,1.16808,1.16763,1.1678,0.0,0.0
1,600,1.1678,1.16819,1.1676,1.16817,0.0,0.0
1,600,1.16817,1.16842,1.16802,1.16819,0.0,0.0
1,600,1.16819,1.16846,1.16787,1.16844,0.0,0.0
1,600,1.16844,1.16895,1.16844,1.16888,0.0,0.0
1,600,1.16889,1.16963,1.16869,1.16943,0.0,0.0
1,600,1.16944,1.16969,1.1693,1.16946,0.0,0.0
1,600,1.16945,1.16946,1.16897,1.16935,0.0,0.0
1,600,1.16934,1.16939,1.16881,1.16881,0.0,0.0
1,600,1.16882,1.16934,1.16863,1.16911,0.0,0.0
1,600,1.16911,1.16918,1.16871,1.16874,0.0,0.0
1,600,1.16874,1.1688,1.16844,1.16851,0.0,0.0
1,600,1.16851,1.16875,1.16844,1.16866,0.0,0.0
1,600,1.16866,1.16897,1.16865,1.16871,0.0,0.0
1,600,1.16871,1.16886,1.16853,1.1686,0.0,0.0
1,600,1.1686,1.16866,1.16849,1.16866,0.0,0.0
1,600,1.16866,1.16897,1.16863,1.16886,0.0,0.0
1,600,1.16886,1.16896,1.16841,1.16842,0.0,0.0
1,600,1.16841,1.16858,1.16841,1.16853,0.0,0.0
1,600,1.16853,1.1687,1.16843,1.1685,0.0,0.0
1,600,1.16849,1.16849,1.16823,1.16832,0.0,0.0
1,600,1.16832,1.16848,1.16822,1.16831,0.0,0.0
1,600,1.16831,1.16835,1.16817,1.16821,0.0,0.0
1,600,1.16821,1.1683,1.16815,1.16817,0.0,0.0
1,600,1.16817,1.16817,1.16803,1.1681,0.0,0.0
1,600,1.1681,1.1681,1.16794,1.168,0.0,0.0
1,600,1.16801,1.16801,1.16788,1.16798,0.0,0.0
1,600,1.16799,1.16801,1.16774,1.16782,0.0,0.0
1,600,1.16782,1.1683,1.1678,1.16819,0.0,0.0
1,600,1.16797,1.16798,1.16788,1.16798,0.0,0.0
1,600,1.16788,1.168,1.16667,1.16767,0.0,0.0
1,600,1.16768,1.1677,1.16764,1.16768,0.0,0.0
1,600,1.16769,1.16772,1.16766,1.16771,0.0,0.0
1,600,1.16771,1.16785,1.16767,1.16774,0.0,0.0
1,600,1.16774,1.16786,1.16773,1.16782,0.0,0.0
1,600,1.16774,1.16793,1.1677,1.16785,0.0,0.0
1,600,1.16787,1.16804,1.16775,1.16791,0.0,0.0
1,600,1.16791,1.16802,1.16777,1.1678,0.0,0.0
1,600,1.16779,1.16783,1.16739,1.1674,0.0,0.0
1,600,1.1674,1.16749,1.16729,1.16749,0.0,0.0
1,600,1.16749,1.16749,1.16734,1.16736,0.0,0.0
1,600,1.16735,1.16777,1.16734,1.16775,0.0,0.0
1,600,1.16775,1.16811,1.16763,1.16801,0.0,0.0
